ŞİRKETLER ,TY/TÖ,NFB/TÖ,TKVY/TÖ,T.DÖN.V/ TKVY,T.DÖN.V-Stok/ TKVY,NAKİT/ TKVY,DK(Z)/ TÖ,İTTA/TA,İTTB/TB,MDV/TÖ,SFVÖK-EFK/MDV,SFVÖK-EFK/TV,DK(Z)/MDV,EFK/H,EFDG/H,SFVÖK/EFK,EFK/TV,DK(Z)/TK,NetDönKarı*/MDV*,SFDK(Z)/TÖ,FAVÖK/T.DuranV,Class
2022 SÖKTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,2.51,2.41,1.84,0.57,0.28,0.06,-0.07,0.02,0.27,1.83,-0.17,-0.09,-0.04,0.33,-0.08,-0.19,0.07,-0.02,4896.09,-0.07,0.06,0
2022 SMARTİKS YAZILIM A.Ş.,0.32,0.27,0.26,1.11,0,0.2,0.06,0,0,0.01,-1.24,-0.01,5.13,0.1,-0.41,0.42,0.02,0.04,0.51,0.06,0.02,0
2022 SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1.34,1.33,0.28,2.78,1.59,0.04,0.05,0.26,0.02,0,40.89,0.05,14.59,-0.82,-1.58,-0.56,-0.04,0.02,42.25,0.05,0.07,0
2022 SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,0.6,0.6,0.31,0.23,0,0,-0.09,0.22,0,0,9.15,0.01,-67.36,-1.67,-2.25,0.88,-0.06,-0.06,-3.56,-0.09,-0.06,0
2022 SEKURO PLASTİK AMBALAJ SANAYİ A.Ş.,2.8,2.66,2.01,1,0.64,0.07,-0.01,0,0,1.79,-0.06,-0.03,0,0.09,-0.02,0.35,0.04,0,-3.01,-0.01,0.09,0
2022 SARTEN AMBALAJ SANAYİ VE TİCARET A.Ş.,3.47,3.34,2.87,1.26,0.77,0.05,0.48,0.09,0.2,0.64,-0.14,-0.02,0.75,0.21,-0.41,0.83,0.11,0.11,17.81,0.48,0.59,0
2022 SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.,2.55,2.3,2.12,1.48,1.08,0.12,0.31,0,0,0.3,-0.39,-0.03,1.06,0.08,-0.08,0.78,0.15,0.09,1.01,0.31,1.26,0
2022 SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.,2.29,2.29,2.13,0.75,0.63,0,0.03,0,0,0.99,0.26,0.08,0.03,-0.12,-0.2,-0.84,-0.04,0.01,-1.18,0.03,0.07,0
2022 RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.,0.27,0.21,0.22,3.06,2.77,0.25,0.22,0.08,0,0.11,1.45,0.12,2.09,0.61,-0.28,2.64,0.07,0.18,-9.13,0.22,0.45,0
2022 RAL YATIRIM HOLDİNG A.Ş.,1.02,0.99,0.81,1.81,1.8,0.03,0.42,0.92,0.44,0.09,-0.21,-0.01,4.55,0.54,-0.04,0.96,0.28,0.21,-53.56,0.42,1.02,0
2022 QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.,2.09,1.95,1.26,1.59,1.29,0.11,0.35,0.36,0.17,0.83,-0.17,-0.05,0.42,0.46,-0.31,0.71,0.16,0.11,0.07,0.35,0.5,0
2022 PERA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,0.04,0.02,0.03,3.05,1.12,0.42,-0.01,0,0.29,0,0,0,0,-0.18,-0.01,1.01,-0.01,-0.01,0,-0.01,-0.01,0
2022 PENGUEN GIDA SANAYİ A.Ş.,0.65,0.57,0.55,1.3,0.54,0.13,0.04,0,0,0.88,-0.06,-0.03,0.05,0.26,-0.07,0.52,0.06,0.02,-107.11,0.04,0.11,0
2022 PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,0.14,-0.03,0.14,2.44,1.92,1.2,0.09,0,0,0.01,-0.74,-0.01,8.48,0.98,-0.46,0.92,0.09,0.08,-27.03,0.09,0.12,0
2022 PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. (2),0.08,-0.08,0.07,4.33,3.37,2.03,0.1,0,0,0.01,-0.7,0,13.84,1.06,-0.46,0.95,0.1,0.09,13.1,0.1,0.14,0
2022 PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş.,3.03,2.5,2.7,1.17,1.17,0.2,0.27,0.03,0,0.01,14.05,0.05,19.57,0.03,-0.05,2.52,0.03,0.07,-24.88,0.27,0.37,0
2022 PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.,0.16,0.15,0.09,1.11,1.07,0.01,0.21,0.34,0.02,0.13,1.97,0.21,1.69,0.16,-0.2,23.57,0.01,0.18,0.13,0.21,0.14,0
2022 OYAK ÇİMENTO FABRİKALARI A.Ş.,0.84,0.64,0.69,1.72,1.16,0.29,0.23,0.1,0.25,0.57,-0.03,-0.01,0.41,0.24,-0.03,0.94,0.16,0.13,2.49,0.23,0.47,0
2022 OSTİM ENDÜSTRİYEL YATIRIMLAR VE İŞLETME A.Ş.,0.42,0.13,0.21,2.93,2.44,1.39,0.1,0.29,0.02,0.22,0.06,0.01,0.45,0.33,-0.04,1.11,0.08,0.07,-2.12,0.1,0.14,0
2022 NUROL İNŞAAT VE TİCARET A.Ş.,2.21,2.12,0.39,1.74,1.27,0.22,0.29,0.02,0,0.06,4.13,0.08,4.62,0.04,-0.01,14.85,0.01,0.09,1.02,0.29,0.24,0
2022 NUROL HOLDİNG A.Ş.,3.59,3.19,2.13,1.04,0.88,0.19,0.32,0.01,0.01,0.71,0.1,0.02,0.45,0.4,-0.01,1.27,0.06,0.07,2.85,0.32,0.26,0
