Şirket Adı,TB / Ö,NFB / Ö,TK / Ö,FAVÖK / İDAFG,KVB / Ö,Cari Oran,Asit Test Oran,N / KVB,FAVÖK Marjı,BK / H,VÖK / H,NDK / Ö,NDK / TK,VÖK / Fgid,İTTA / TTA,İTTB / TTB,MDV / Ö,SM / Stok,H / TA,H / TV,H / Ö,H / MDV,Class
Sabanci Holding,5.1134,4.8398,6.1134,9.3571,4.5930,0.7812,0.7666,0.0596,0.4053,1.1080,7.1560,-0.0340,-0.0056,7.2881,0.0000,0.0000,0.1836,2.4006,7.0923,0.0315,0.1923,1.0476,0
Seker Gayrimenkul,0.1497,0.1241,1.1497,1.1299,0.0902,1.3145,1.1997,0.2830,0.1924,0.3635,0.2774,0.0137,0.0119,0.6086,0.0000,0.2553,0.0264,3.0316,26.2914,0.0429,0.0493,1.8687,0
Shell,2.0390,1.9046,3.0390,1.3757,1.7762,0.9563,0.6133,0.0756,0.0100,0.0065,-0.0016,0.0728,0.0239,-0.4852,0.0214,0.3121,0.4706,0.9090,10.8564,3.2870,9.9891,21.2279,0
Tarkim Bitki,0.1843,0.0521,1.1843,0.1859,0.1287,5.6463,3.8317,1.0268,0.0707,0.1668,-0.0934,0.1286,0.1086,-1.9858,0.8342,0.0503,0.2731,1.2406,2.5074,0.2936,0.3477,1.2734,0
TAV Havalimani,2.2041,1.8681,3.2041,1.6954,0.6821,0.9464,0.9001,0.4926,0.2497,0.3844,0.1406,0.0559,0.0174,1.1362,0.0555,0.0061,0.5290,9.1089,4.5204,0.1457,0.4669,0.8826,0
Teknosa,5.2558,4.5837,6.2558,-2.2098,5.0211,1.0015,0.2282,0.1339,-0.0458,0.1174,-0.0321,-0.2616,-0.0418,-0.4545,0.0342,0.0057,0.4079,2.5897,35.2853,1.8211,11.3924,27.9269,0
Tofas,1.2156,0.7547,2.2156,111.4385,1.0200,1.5606,1.1976,0.4519,0.0864,0.0100,-0.0154,0.1001,0.0452,-0.5276,0.5434,0.5816,0.2680,3.5107,2.9855,0.6804,1.5075,5.6240,0
Tuborg,0.7500,-0.2458,1.7500,31.0864,0.7226,1.4531,1.0776,1.3782,0.0943,0.2297,0.0702,0.0861,0.0136,2.1215,0.0000,0.0000,0.5793,1.5233,3.8915,0.2765,1.7500,3.0211,0
Ulker ,1.9317,1.2887,2.9317,3.9651,0.6331,2.9081,2.2756,1.0157,0.2508,0.3137,0.1550,0.1547,0.0528,0.9708,0.5733,0.2899,0.7532,2.4089,2.4160,0.4794,1.4055,1.8661,0
Vakko,0.6421,0.5469,1.6421,2.2197,0.4103,2.4736,0.5579,0.2321,0.0908,0.5390,0.1191,0.0745,0.0454,1.6397,0.0849,0.0102,1.0148,0.5414,27.2021,0.5620,0.9228,0.9093,0
2023-BİEN YAPI,0.7972,0.7863,1.7972,4.6508,0.7350,2.1505,1.7917,0.0149,0.1430,0.1949,0.1661,0.0728,0.0405,3.0048,0.1197,0.1406,0.1669,1.9121,1.3787,0.3486,0.6265,3.7543,0
2023-BİOTREND,7.2736,6.7040,8.2736,3.8630,2.4960,1.0770,0.9290,0.2282,0.2603,0.2015,0.2783,0.3991,0.0482,2.8749,0.0000,0.0000,4.5350,3.4954,1.9629,0.1954,1.6170,0.3566,0
